,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.
2759,24.0,0.0,1412.549958229065,19.687328,2675,13.424014107162384,-5.834595,1340.726858232167,2784.1004
2760,24.0,1.0,1453.7950146198273,12.363285,2675,13.424014107162384,-5.834595,1397.5453504669142,2285.1587000000004
2761,24.0,5.0,1599.7949624061584,25.639374,5167,9.856365415441177,2.72436,1590.8165772262223,2209.5827000000004
2762,24.0,9.0,1727.910075187683,30.085442,4001,9.661741507587733,4.040815,1677.4900015015573,3412.3403
2763,24.0,11.0,1791.419997215271,162.28568,6904,37.23307465110555,19.611759998333333,1709.5429510083613,2492.9489
2764,24.0,12.0,1828.284935951233,168.54546,6904,37.23307465110555,19.611759998333333,1647.7784068674478,2147.103
2765,24.0,13.0,1797.625069618225,26.639776,6904,37.23307465110555,19.611759998333333,1591.187822723515,2191.3572000000004
2766,24.0,14.0,1870.625,190.52252,6904,37.23307465110555,19.611759998333333,1540.343211359142,2069.2151
2767,24.0,15.0,1928.294997215271,274.67484,6904,37.23307465110555,19.611759998333333,1495.83246950085,2328.6047000000003
2768,24.0,32.0,1802.0049262046807,235.28174,3529,23.99328145134228,32.059560000000005,6.634872610884708,13.570200000000002
2769,24.0,41.0,1482.9950737953186,81.90857,3540,24.453107097656257,40.936795,38.78090326243557,47.0165
2770,24.0,44.0,1347.9450285434723,142.5079,3540,24.453107097656257,40.936795,342.3008410097767,656.992
2771,24.0,46.0,1298.3049714565277,170.11359,3733,27.85046226244344,43.192375,436.7097553354516,582.4683
2772,24.0,47.0,1238.810019493103,73.05023,3015,28.65831452538937,44.33846,468.1190922841752,671.7156
2773,24.0,49.0,1125.2949798107147,250.18251,3015,28.65831452538937,44.33846,628.694984640264,791.8849
2774,24.0,50.0,1126.3899874687197,257.5604,4142,20.129546733333328,54.675535,583.1120988706488,778.2805
2775,24.0,52.0,1081.8599951267242,152.86417,3697,21.13581203708845,55.68641,451.448799550341,633.5474
2776,24.0,54.0,1020.904974937439,100.64737,4075,24.09501611899418,57.0163,335.8665923999967,418.3448
2777,24.0,55.0,1045.7250034809113,243.79742,4075,24.09501611899418,57.0163,224.5769077656844,254.4715
2778,24.0,56.0,1059.9600160121918,247.29355,4075,24.09501611899418,57.0163,113.31713032134232,130.3888
2779,24.0,57.0,1070.910005569458,216.72623,4075,24.09501611899418,57.0163,6.051712339777494,10.0663
2780,25.0,-33.0,1720.2449345588684,160.02235,3067,25.68559036326052,-33.79097,108.46329676622985,174.81920000000002
2781,25.0,-32.0,1860.7700181007383,201.3561,3067,25.68559036326052,-33.79097,208.72268634552924,329.6189
2782,25.0,-31.0,1936.6900849342344,214.35992,3067,25.68559036326052,-33.79097,316.1487800623501,395.9364000000001
2783,25.0,-30.0,1929.755065441132,235.47649,3067,25.68559036326052,-33.79097,425.3323204774385,532.0506
2784,25.0,-29.0,1910.7750487327576,104.39497,3067,25.68559036326052,-33.79097,535.1884510688723,770.7636
2785,25.0,-28.0,1904.569976329804,120.457405,2097,27.935595251892853,-33.02241430152208,623.9471665172506,812.5151999999999
2786,25.0,-27.0,1901.650013923645,139.11247,6817,30.976848675001275,-30.01039060590822,673.4014224126121,808.8964
2787,25.0,-26.0,1891.0650849342344,135.50754,6817,30.976848675001275,-30.01039060590822,736.7325495654648,942.4685
2788,25.0,-25.0,1882.669997215271,191.75687,2630,32.571100798693614,-25.980385,768.8344226788976,937.3894
2789,25.0,-24.0,1882.3050236701963,119.93946,2630,32.571100798693614,-25.980385,795.0652636024232,1048.183
2790,25.0,-21.0,1908.9500069618225,231.55563,2630,32.571100798693614,-25.980385,949.5420323566344,1190.4157
2791,25.0,-20.0,1855.6600403785703,122.65757,2630,32.571100798693614,-25.980385,1019.924436227617,1327.513
2792,25.0,-18.0,1837.044997215271,132.23491,3174,34.834500584926026,-19.817735,1055.2245703539913,1424.9562
