,Port Code
1292,4092
1293,3718
1294,3718
1295,3718
1296,3718
1297,3718
1298,5549
1299,5549
1300,5549
1301,5549
1302,5549
1303,5549
1304,5549
1305,5549
1306,5549
1307,5549
1308,6813
1309,6165
1310,6165
1311,3415
1312,3407
1313,17777
1314,6822
1315,6822
1316,4092
1317,4092
1318,3718
1319,3718
1320,3718
1321,5549
1322,5549
1323,5549
1324,5549
1325,5549
1326,5549
1327,5549
1328,5549
1329,6165
1330,6165
1331,7088
1332,3748
1333,4092
1334,4092
1335,4092
1336,3718
1337,3718
1338,3718
1339,3718
1340,3718
1341,5549
1342,5549
1343,5549
1344,5549
1345,5549
1346,5549
1347,5549
1348,2777
1349,2777
1350,6165
1351,6057
1352,1916
1353,4092
1354,4092
1355,3718
1356,3718
1357,3718
1358,5549
1359,5549
1360,5549
1361,5549
1362,5549
1363,5549
1364,5549
1365,5549
1366,2777
1367,2777
1368,2777
1369,2777
1370,6165
1371,6165
1372,6165
1373,6165
1374,6165
1375,6057
1376,6057
1377,3718
1378,3718
1379,3312
1380,5549
1381,5549
1382,5549
1383,5549
1384,5549
1385,5549
1386,2777
1387,2777
1388,2777
1389,2777
1390,2777
1391,6165
1392,6165
1393,6165
1394,28321
1395,26812
1396,3254
1397,3312
1398,6724
1399,5549
1400,5549
1401,5549
1402,5549
1403,5549
1404,2777
1405,2777
1406,2777
1407,2777
1408,2777
1409,2777
1410,2777
1411,3145
1412,3769
1413,3769
1414,3769
1415,3769
1416,3769
1417,3769
1418,3769
1419,28321
1420,5549
1421,2777
1422,2777
1423,2777
1424,2777
1425,2777
1426,2777
1427,2777
1428,25825
1429,25825
1430,3145
1431,3145
1432,3769
1433,3769
1434,3769
1435,3769
1436,3769
1437,3769
1438,29534
1439,23924
1440,23928
1441,2777
1442,2777
1443,2777
1444,2777
1445,2777
1446,2777
1447,25825
1448,25825
1449,3145
1450,3145
1451,2785
1452,2785
1453,2785
1454,2785
1455,3769
1456,3769
1457,3769
1458,3769
1459,15083
1460,29534
1461,2777
1462,2777
1463,2777
1464,2777
1465,25825
1466,25825
1467,25825
1468,25825
1469,6774
1470,3145
1471,3145
1472,3145
1473,2785
1474,2785
1475,2785
1476,2785
1477,2785
1478,2785
1479,15083
1480,15083
1481,29534
1482,25825
1483,25825
1484,25825
1485,25825
1486,25825
1487,25825
1488,6774
1489,6774
1490,6770
1491,3145
1492,3145
1493,2785
1494,2785
1495,2785
1496,2785
1497,2785
1498,2785
1499,2785
1500,24704
1501,25825
1502,25825
1503,25825
1504,2776
1505,15065
1506,15065
1507,6774
1508,6774
1509,3145
1510,3145
1511,3145
1512,2785
1513,2785
1514,2785
1515,2785
1516,2785
1517,2785
1518,2880
1519,4085
1520,3574
1521,2897
1522,6774
1523,6774
1524,6770
1525,6770
1526,3145
1527,3145
1528,3145
1529,3145
1530,2785
1531,2785
1532,2785
1533,2785
1534,2785
1535,2785
1536,4085
1537,4085
1538,3574
1539,3791
1540,6774
1541,6774
1542,6770
1543,6770
1544,3145
1545,3145
1546,3145
1547,3145
1548,3145
1549,2785
1550,2785
1551,2785
1552,2785
1553,2785
1554,26824
1555,2649
1556,3574
1557,2897
1558,6774
1559,6774
1560,6774
1561,6770
1562,6770
1563,3145
1564,3145
1565,3145
1566,3145
1567,3145
1568,3432
1569,3432
1570,3432
1571,2785
1572,2785
1573,29722
1574,2649
1575,3574
1576,3791
1577,6774
1578,6774
1579,6774
1580,6770
1581,6770
1582,3145
1583,3145
1584,3145
1585,3145
1586,5655
1587,5655
1588,3432
1589,3432
1590,3432
1591,6811
1592,6811
1593,6774
1594,6774
1595,6774
1596,6770
1597,6770
1598,3145
1599,3145
1600,3145
1601,3145
1602,5655
1603,5655
1604,14742
1605,14742
1606,3432
1607,3432
1608,6811
1609,6770
1610,6770
1611,6770
1612,6770
1613,3145
1614,3145
1615,5655
1616,5655
1617,5655
1618,6284
1619,6284
1620,2619
1621,3432
1622,3145
1623,23916
1624,5655
1625,5655
1626,4104
1627,6284
1628,6284
1629,6284
1630,5655
1631,4104
1632,3193
1633,6829
1634,6284
1635,6284
1636,4104
1637,3193
1638,3467
1639,3006
1640,4052
1641,3467
1642,3864
1643,3276
1644,6886
1645,3066
1646,3864
1647,6897
1648,3132
1649,3132
1650,3657
1651,3276
1652,3276
1653,3066
1654,3066
1655,3132
1656,3754
1657,3657
1658,3657
1659,3276
1660,6886
1661,3132
1662,3132
1663,3456
1664,3754
1665,3657
1666,3276
1667,3276
1668,3066
1669,3132
1670,3132
1671,3132
1672,4103
1673,3456
1674,3456
1675,3456
1676,3754
1677,3657
1678,3657
1679,3276
1680,3132
1681,3132
1682,3132
1683,4103
1684,2860
1685,2860
1686,3456
1687,3456
1688,3754
1689,3754
1690,3657
1691,3657
1692,3276
1693,3132
1694,4103
1695,3416
1696,2860
1697,2860
1698,2860
1699,3456
1700,3456
1701,3754
1702,3754
1703,3657
1704,3657
1705,3132
1706,3132
1707,2662
1708,651
1709,2524
1710,3416
1711,3416
1712,3416
1713,3416
1714,2860
1715,2860
1716,3456
1717,3456
1718,3754
1719,3657
1720,3132
1721,2662
1722,2662
1723,2662
1724,2596
1725,45564
1726,6009
1727,3073
1728,13768
1729,13768
1730,4468
1731,4468
1732,3416
1733,3416
1734,3416
1735,2860
1736,2860
1737,3456
1738,3754
1739,3754
1740,3754
1741,3132
1742,2662
1743,3398
1744,3398
1745,44800
1746,2138
1747,2981
1748,3948
1749,3767
1750,2589
1751,2416
1752,2416
1753,4468
1754,4468
1755,4468
1756,4468
1757,3416
1758,3416
1759,2860
1760,3456
1761,3754
1762,3754
1763,3132
1764,2662
1765,2596
1766,3572
1767,2836
1768,3189
1769,3189
1770,2981
1771,3948
1772,3767
1773,2696
1774,1932
1775,712
1776,2416
1777,4468
1778,4468
1779,4468
1780,4468
1781,2614
1782,2614
1783,2614
1784,2614
1785,2614
1786,3456
1787,3754
1788,3754
1789,2662
1790,2836
1791,2836
1792,10737
1793,16199
1794,2907
1795,2907
1796,2907
1797,2907
1798,2984
1799,2984
1800,2984
1801,2090
1802,1931
1803,4120
1804,2614
1805,2614
1806,2614
1807,2614
1808,2614
1809,2614
1810,2614
1811,2614
1812,2614
1813,2836
1814,2836
1815,2836
1816,3367
1817,2578
1818,2907
1819,2907
1820,2907
1821,2791
1822,2791
1823,2791
1824,2084
1825,1931
1826,1931
1827,2614
1828,2614
1829,2614
1830,2614
1831,2614
1832,2614
1833,2614
1834,2614
1835,2614
1836,2614
1837,2614
1838,2662
1839,2836
1840,2723
1841,2723
1842,2723
1843,2723
1844,16757
1845,16757
1846,2578
1847,2907
1848,2764
1849,2764
1850,2764
1851,2167
1852,28785
1853,2512
1854,2091
1855,2493
1856,7114
1857,7114
1858,2614
1859,2614
1860,2614
1861,2614
1862,2614
1863,2614
1864,2614
1865,2614
1866,2614
1867,2614
1868,4021
1869,4021
1870,2780
1871,2723
1872,2723
1873,2760
1874,6078
1875,3711
1876,2182
1877,2182
1878,4053
1879,726
1880,2423
1881,2092
1882,7113
1883,7119
1884,2478
1885,2616
1886,2616
1887,2616
1888,3463
1889,3463
1890,3463
1891,3463
1892,4021
1893,4021
1894,4021
1895,4021
1896,2780
1897,2780
1898,2780
1899,2780
1900,2780
1901,2780
1902,3556
1903,6078
1904,2752
1905,3711
1906,2602
1907,2300
1908,44004
1909,44004
1910,13685
1911,3382
1912,2092
1913,1965
1914,2509
1915,7098
1916,3463
1917,3463
1918,3463
1919,3463
1920,4021
1921,4021
1922,4021
1923,4021
1924,3778
1925,3778
1926,3778
1927,2780
1928,2780
1929,2780
1930,2780
1931,3256
1932,2188
1933,3711
1934,2602
1935,3577
1936,2300
1937,2300
1938,26043
1939,2072
1940,44004
1941,26054
1942,669
1943,4257
1944,2217
1945,1965
1946,3463
1947,3463
1948,4021
1949,4021
1950,4021
1951,4021
1952,3778
1953,3778
1954,3778
1955,3778
1956,3778
1957,2780
1958,2780
1959,2780
1960,3256
1961,3256
1962,2923
1963,3577
1964,7036
1965,3429
1966,2071
1967,2071
1968,16198
1969,2072
1970,2073
1971,2073
1972,2083
1973,2083
1974,2217
1975,26077
1976,4021
1977,3778
1978,3778
1979,3778
1980,3778
1981,3778
1982,3803
