,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2
20,-122.0,40.0,1724.989938735962,262.91464,6367,-121.55685725036533,38.561485000000005,164.2177668177324,179.1987,1803168.639623083,1262218047.7361581,0.8259707015452055,627.634804998749,1581639708.5968475,137176316.32532448,185977079.9725454,44.10179075718205,59.79109576852467,Solar,331716019.1001483,6.634320382002967,20842.59408623367,2.8266786238530983,2.259419397390062,3.918721882647148,,2.259419397390062,LOHC,12745.794424342943,,112970969.8695031,444686988.9696514,8.893739779393028
21,-122.0,42.0,1651.990008354187,80.47385,3772,-124.19684561280556,43.394895000000005,237.5009999508732,407.2945,1882849.015710965,1317994310.9976754,0.25281605596608697,2050.5341649208576,5167346095.600561,143238012.5166673,551189195.6801524,46.05060863059841,177.2057394940989,Solar,337777715.29149115,6.755554305829823,20469.26256891178,2.826258757599536,2.2588041478303866,3.916276428316241,,2.2588041478303866,LOHC,12525.037375792723,,112940207.39151934,450717922.68301046,9.01435845366021
22,-122.0,56.0,1263.2649874687197,187.58942,1934,-123.2597273115,49.1586226685,766.0342703426022,1154.6808,2462229.0588664394,1723560341.2065077,0.5893295437631703,879.6571726044909,2216736074.9633174,187314433.5047168,250663047.70252723,60.22105107877172,80.58744815772228,Solar,381854136.27954066,7.637082725590814,20178.00630192884,2.9783435582657765,2.4047300232894133,4.060751130538613,,2.4047300232894133,LOHC,10976.752850964878,,120236501.16447067,502090637.44401133,10.041812748880227
23,-121.0,36.0,1850.1849150657647,43.310562,4731,-121.33982489431968,37.95234,218.7673144923872,318.1805,1681155.0758338494,1176808553.0836945,0.13606414340204526,3810.0262658267134,9601266189.883318,127894116.72704911,1002793751.0282032,41.11759031051963,322.39530383344345,Solar,322433819.50187296,6.448676390037459,20829.80770501801,2.826664368488291,2.2593985083406416,3.918638854198659,,2.2593985083406416,LOHC,13175.800840250826,,112969925.41703208,435403744.918905,8.7080748983781
24,-121.0,37.0,1846.1700320243835,168.25212,4731,-121.33982489431968,37.95234,109.88775187619235,125.1116,1684811.0993240022,1179367769.5268016,0.5285796241429083,980.7566098288471,2471506656.768695,128172249.24541572,276611994.20256406,41.20700911440908,88.9299597484251,Solar,322711952.0202396,6.454239040404792,20829.80770501801,2.826664368488291,2.2593985083406416,3.918638854198659,,2.2593985083406416,LOHC,13065.800915984713,,112969925.41703208,435681877.43727165,8.713637548745433
25,-121.0,38.0,1774.265022277832,112.58099,4731,-121.33982489431968,37.95234,30.32231572321424,40.3395,1753090.841638068,1227163589.1466477,0.353683611117866,1465.7392762998118,3693662976.2755256,133366640.5654887,401091314.8715069,42.876990968751166,128.94970295773015,Solar,327906343.34031254,6.5581268668062505,20829.80770501801,2.826664368488291,2.232273534781589,3.918638854198659,,2.232273534781589,LOHC,12955.765391634153,,111613676.73907945,439520020.07939196,8.790400401587839
26,-121.0,39.0,1741.414966583252,83.97129,6367,-121.55685725036533,38.561485000000005,68.63688040584367,77.12,1786161.1510649254,1250312805.7454476,0.26380358777645807,1965.1285434309316,4952123929.445948,135882469.16145584,529268342.66960186,43.68582261908609,170.15824836306777,Solar,330422171.93627965,6.608443438725593,20842.59408623367,2.8266786238530983,2.259419397390062,3.918721882647148,,2.259419397390062,LOHC,12845.69507764984,,112970969.8695031,443393141.80578274,8.867862836115656
27,-121.0,41.0,1705.279974937439,123.22334,6367,-121.55685725036533,38.561485000000005,274.91789783240614,440.0488,1824010.0200016375,1276807014.0011463,0.3871175396947973,1339.1487262698477,3374654790.200016,138761827.36663374,368599626.48704964,44.61152799215192,118.50371868825492,Solar,333301530.14145756,6.666030602829151,20842.59408623367,2.8266786238530983,2.259419397390062,3.918721882647148,,2.259419397390062,LOHC,12625.453184609747,,112970969.8695031,446272500.01096064,8.925450000219213
28,-121.0,43.0,1666.9549679756165,191.82724,3674,-122.768689375,45.58885,320.4123225349457,422.9964000000001,1865945.8839319577,1306162118.7523704,0.6026430479424061,860.2239119309456,2167764258.065983,141952104.30993938,245675159.9814508,45.63719284436631,78.98385661591749,Solar,336491807.0847632,6.729836141695265,20368.64963723788,2.8261442932204597,2.258636417849166,3.915609745987828,,2.258636417849166,LOHC,12405.08122647165,,112931820.8924583,449423627.97722155,8.98847255954443
29,-121.0,44.0,1622.790036201477,200.39606,6634,-122.7035916567065,45.64459,227.0461322502766,319.0645,1916728.4071294686,1341709884.990628,0.6295627899043394,823.4412333641507,2075071908.0776596,145815392.142738,236234239.39413154,46.87922875990138,75.94862782824767,Solar,340355094.9175619,6.807101898351238,20364.597075496426,2.826139670902468,2.2586296445515153,3.9155828239204915,,2.2586296445515153,LOHC,12294.848268659296,,112931482.22757576,453286577.14513767,9.065731542902753
